epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.267,0.90108,0.77965,1.27096,0.83917,0.79788,0.89762,0.64953,0.92175,1.06223,1.29961,0.0672292,0.000331019,0.000331019
2,469.601,1.02719,0.85503,1.33048,0.74747,0.72087,0.8024,0.50402,1.26129,1.64745,1.59488,0.034216,0.000651198,0.000651198
3,760.812,1.0297,0.83351,1.32608,0.83394,0.5182,0.61568,0.41836,1.21756,1.82788,1.63288,0.00118966,0.000958177,0.000958177
4,1012.99,1.01804,0.84629,1.3151,0.88836,0.81118,0.89941,0.63155,0.99039,0.84858,1.32302,0.0009406,0.0009406,0.0009406
5,1255.12,0.96604,0.76316,1.28191,0.81034,0.78398,0.85533,0.63406,0.92727,0.79445,1.28217,0.0009208,0.0009208,0.0009208
6,1528.64,0.92093,0.72535,1.2468,0.93781,0.87846,0.95321,0.73124,0.80831,0.57049,1.16427,0.000901,0.000901,0.000901
7,1842.91,0.91757,0.70805,1.24501,0.90483,0.86893,0.9364,0.71318,0.81443,0.68794,1.1705,0.0008812,0.0008812,0.0008812
8,2143.87,0.87957,0.65019,1.21966,0.90822,0.88868,0.93407,0.73085,0.76621,0.61301,1.15604,0.0008614,0.0008614,0.0008614
9,2428.79,0.85579,0.65245,1.21279,0.94599,0.90655,0.96799,0.76621,0.74922,0.52733,1.11454,0.0008416,0.0008416,0.0008416
10,2743.12,0.84724,0.61879,1.19507,0.92516,0.92112,0.96959,0.77611,0.69551,0.53822,1.07771,0.0008218,0.0008218,0.0008218
11,3042.65,0.85222,0.63723,1.20112,0.92233,0.90049,0.95816,0.75655,0.72821,0.54006,1.13004,0.000802,0.000802,0.000802
12,3334.79,0.82704,0.59996,1.18646,0.9589,0.90613,0.96699,0.7767,0.69038,0.50146,1.0805,0.0007822,0.0007822,0.0007822
13,3626.47,0.82023,0.5852,1.18749,0.93779,0.92718,0.97476,0.78579,0.68335,0.4973,1.07002,0.0007624,0.0007624,0.0007624
14,3920.12,0.79789,0.56241,1.15844,0.92496,0.92752,0.96768,0.78876,0.68407,0.49412,1.07169,0.0007426,0.0007426,0.0007426
15,4230.27,0.79315,0.55662,1.16899,0.93123,0.88736,0.94073,0.76664,0.6599,0.4841,1.05703,0.0007228,0.0007228,0.0007228
16,4532.34,0.78602,0.55122,1.15699,0.93756,0.94754,0.9783,0.81735,0.6404,0.41979,1.02941,0.000703,0.000703,0.000703
17,4865.46,0.7782,0.54339,1.15369,0.95542,0.93632,0.98411,0.82886,0.62336,0.40692,1.02389,0.0006832,0.0006832,0.0006832
18,5219.19,0.74528,0.50441,1.13813,0.94648,0.94424,0.98218,0.82318,0.61628,0.4067,1.02423,0.0006634,0.0006634,0.0006634
19,5588.37,0.75354,0.51644,1.14478,0.9536,0.94783,0.98415,0.82574,0.60083,0.4028,1.0106,0.0006436,0.0006436,0.0006436
20,5985.21,0.75077,0.51159,1.13929,0.93147,0.94296,0.97806,0.82616,0.57724,0.40809,0.98731,0.0006238,0.0006238,0.0006238
21,6360.95,0.74711,0.51024,1.14315,0.95016,0.94852,0.9814,0.83188,0.60183,0.39584,1.01494,0.000604,0.000604,0.000604
22,6780.22,0.73304,0.50214,1.12867,0.95675,0.95024,0.9866,0.83585,0.58741,0.39858,0.99971,0.0005842,0.0005842,0.0005842
23,7189.03,0.73198,0.48944,1.12486,0.94375,0.9466,0.98186,0.83672,0.59574,0.39381,0.992,0.0005644,0.0005644,0.0005644
24,7622.27,0.74181,0.50848,1.12513,0.96302,0.94822,0.98586,0.83244,0.59547,0.38843,0.99842,0.0005446,0.0005446,0.0005446
25,8090.93,0.70873,0.47766,1.12261,0.95421,0.96095,0.98635,0.84803,0.58146,0.37232,0.98415,0.0005248,0.0005248,0.0005248
26,8486.32,0.72832,0.47922,1.12529,0.96489,0.93392,0.98527,0.83484,0.5934,0.37635,0.99857,0.000505,0.000505,0.000505
